EmployeeID,FirstName,LastName,DOB,State,City,Department,JobTitle,Education,HiringDate,Salary
00-20570592,Tarini,Chakraborty,1998-02-11,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2016-12-20 10:18:28,52562
00-19289546,Emir,Virk,2006-02-12,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2024-04-25 21:42:25,55349
00-26879290,Navya,Kulkarni,2005-01-03,Punjab,Amritsar,Marketing,Marketing Coordinator,Bachelor,2016-03-18 05:59:09,54966
00-32162965,Indrans,Grover,1974-07-24,Punjab,Chandigarh,Operations,Operations Analyst,Master,2017-07-29 11:22:36,73178
00-38427073,Vanya,Lanka,1963-08-10,Maharashtra,Pune,IT,IT Support Specialist,High School,2024-08-20 14:34:05,58581
00-36998038,Samarth,Konda,1964-11-22,Maharashtra,Pune,Operations,Operations Analyst,Master,2022-02-13 10:40:57,61007
00-97225156,Taran,Vyas,1984-06-29,Punjab,Ludhiana,IT,System Administrator,Bachelor,2018-04-03 23:51:26,82409
00-26240908,Bhavin,Dara,2002-03-05,Punjab,Amritsar,Marketing,Content Creator,Bachelor,2017-01-31 14:04:08,52826
00-12823170,Dharmajan,Setty,1996-08-21,Maharashtra,Pune,Sales,Sales Consultant,PhD,2020-11-12 21:53:16,67649
00-39557077,Darshit,Sidhu,1999-10-26,Maharashtra,Pune,Operations,Operations Analyst,Master,2015-10-25 10:05:39,68431
00-17901903,Gokul,Bhatt,1995-11-29,Maharashtra,Pune,Operations,Inventory Specialist,Bachelor,2017-08-02 12:32:27,53477
00-54349361,Ivan,Deo,1999-06-23,Maharashtra,Pune,Sales,Sales Specialist,Master,2016-12-04 19:39:55,66082
00-99788677,Mahika,Kakar,1977-12-24,Maharashtra,Mumbai,Customer Service,Customer Service Representative,Bachelor,2019-12-27 18:06:04,58100
00-86644106,Hrishita,Shroff,1977-04-03,Maharashtra,Mumbai,IT,Software Developer,Master,2020-10-03 21:09:57,89677
00-73481353,Sahil,Iyengar,1988-12-23,Maharashtra,Nagpur,Operations,Inventory Specialist,High School,2023-06-20 03:23:19,52026
00-23009833,Ela,Kara,1971-10-20,Punjab,Amritsar,Sales,Sales Manager,Master,2022-04-07 06:38:52,80909
00-65177213,Mamooty,Balay,1986-07-29,Maharashtra,Nagpur,Marketing,Content Creator,Bachelor,2019-01-09 04:03:12,56714
00-97705310,Khushi,Malhotra,1979-03-24,Maharashtra,Mumbai,IT,Software Developer,Master,2024-08-16 12:39:33,90435
00-64038913,Madhup,Aggarwal,1968-05-25,Punjab,Chandigarh,Operations,Inventory Specialist,High School,2022-10-02 21:33:20,58294
00-35714784,Mohanlal,Balan,1979-02-23,Maharashtra,Nagpur,Sales,Sales Consultant,Bachelor,2017-01-27 04:12:59,72874
00-66623995,Arhaan,Vasa,1986-01-19,Maharashtra,Pune,Customer Service,Help Desk Technician,Bachelor,2017-01-28 12:26:18,71831
00-20117988,Drishya,Dani,1982-07-08,Maharashtra,Mumbai,Sales,Sales Specialist,Master,2019-09-17 19:19:29,66045
00-16789850,Aradhya,Chhabra,2000-04-05,Maharashtra,Pune,Customer Service,Support Specialist,Bachelor,2022-02-21 09:14:08,58721
00-11980765,Samaira,Wadhwa,2002-06-05,Maharashtra,Pune,Marketing,SEO Specialist,Bachelor,2024-08-11 18:40:54,67062
00-64547971,Anika,Dara,1995-10-02,Maharashtra,Pune,HR,Recruiter,Bachelor,2019-11-10 14:25:03,62965
00-63826716,Yuvraj ,Chandran,1969-12-26,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2023-02-07 15:27:38,60683
00-10289289,Nirvi,Kale,1987-09-05,Maharashtra,Mumbai,Sales,Sales Consultant,Master,2024-06-13 12:02:20,86703
00-71070189,Zain,Kaur,1967-04-03,Maharashtra,Nagpur,Marketing,SEO Specialist,Bachelor,2017-09-19 12:12:44,60559
00-84593961,Neysa,Roy,1970-04-07,Maharashtra,Nagpur,Operations,Logistics Coordinator,Bachelor,2022-01-24 12:57:03,51407
00-35487660,Yuvaan,Seth,1986-08-28,Maharashtra,Pune,Customer Service,Help Desk Technician,Bachelor,2017-11-07 22:03:46,59822
00-82772208,Emir,Dash,1976-08-08,Maharashtra,Mumbai,Sales,Sales Consultant,Bachelor,2016-03-14 20:52:31,63996
00-16729990,Heer,Kapur,1973-02-08,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2020-06-12 20:13:18,62314
00-81286543,Jivin,Dewan,1995-01-18,Maharashtra,Mumbai,Customer Service,Help Desk Technician,Bachelor,2017-04-08 00:21:53,76050
00-34941004,Dhanuk,Kant,2001-01-06,Maharashtra,Pune,Customer Service,Customer Service Representative,High School,2016-02-08 00:34:31,54637
00-41568532,Badal,Sachdev,2000-05-09,Maharashtra,Nagpur,IT,Software Developer,Master,2019-11-21 16:20:30,89848
00-87701200,Abram,Batra,1979-08-27,Maharashtra,Pune,Customer Service,Support Specialist,Bachelor,2020-03-05 14:07:54,57504
00-66267415,Yuvraj ,Kibe,1996-04-28,Maharashtra,Pune,Operations,Inventory Specialist,Bachelor,2022-03-25 00:16:09,58678
00-52462441,Yakshit,Zacharia,1967-07-23,Maharashtra,Nagpur,Operations,Inventory Specialist,Bachelor,2024-03-04 22:31:45,51611
00-52169044,Vaibhav,Agarwal,1990-02-18,Maharashtra,Nagpur,Operations,Logistics Coordinator,Bachelor,2017-04-13 23:52:17,54735
00-96637649,Vardaniya,Srinivasan,1994-07-13,Uttar Pradesh,Kanpur,Operations,Logistics Coordinator,Bachelor,2017-04-21 18:42:55,54122
00-19736572,Aarna,Sarin,2001-05-21,Maharashtra,Pune,Sales,Sales Consultant,PhD,2015-09-15 01:05:15,71860
00-23419256,Saanvi,Kohli,1974-02-06,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2016-03-14 17:58:35,55102
00-45594597,Ritvik,Chopra,1967-07-19,Maharashtra,Mumbai,IT,IT Support Specialist,Bachelor,2017-08-13 22:21:05,55942
00-42787299,Sara,Madan,1967-09-19,Maharashtra,Pune,IT,IT Support Specialist,Bachelor,2018-10-18 11:38:15,54789
00-82909480,Saksham,Balakrishnan,1966-12-24,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2022-08-15 20:55:47,59691
00-97775215,Anvi,Krishnamurthy,1999-09-17,Maharashtra,Pune,Customer Service,Support Specialist,High School,2020-03-02 03:22:45,54435
00-84437458,Bhavin,Kumar,1969-01-07,Maharashtra,Pune,Operations,Inventory Specialist,High School,2017-11-27 15:05:15,55359
00-28024248,Kabir,Banerjee,2004-01-22,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2017-01-27 09:26:28,59668
00-84252420,Pari,Venkataraman,1979-07-29,Maharashtra,Pune,Operations,Inventory Specialist,High School,2017-06-06 19:27:39,50589
00-38270233,Fateh,Walia,2002-05-02,Maharashtra,Pune,Customer Service,Help Desk Technician,Bachelor,2022-04-06 14:53:36,69765
00-95125977,Kavya,Rajan,1966-04-09,Maharashtra,Nagpur,Sales,Sales Consultant,Master,2023-08-29 13:03:14,64158
00-43704923,Dhanush,Kadakia,2003-04-15,Maharashtra,Mumbai,Operations,Operations Analyst,Master,2023-08-08 12:17:48,56157
00-95132217,Elakshi,Dugar,1981-04-24,Maharashtra,Mumbai,Operations,Inventory Specialist,High School,2019-03-21 07:50:01,56335
00-10475894,Oorja,Sehgal,1984-12-12,Maharashtra,Mumbai,Customer Service,Help Desk Technician,Bachelor,2018-04-03 16:42:51,52077
00-45159040,Prerak,Hora,1972-06-21,Rajasthan,Jodhpur,Finance,Financial Analyst,PhD,2017-09-18 20:36:23,60635
00-67403166,Neelofar,Doctor,1994-09-06,Maharashtra,Mumbai,Operations,Inventory Specialist,High School,2020-05-02 18:59:06,51111
00-30005727,Suhana,Bansal,1964-03-14,Punjab,Amritsar,Customer Service,Customer Service Manager,Bachelor,2020-06-26 23:31:50,78047
00-84158663,Misha,Manda,1970-05-16,Maharashtra,Pune,Sales,Sales Consultant,PhD,2017-01-29 10:50:21,77913
00-51373735,Heer,Chhabra,1997-12-28,Gujarat,Vadodara,Operations,Logistics Coordinator,Bachelor,2018-04-13 23:50:49,57521
00-38195995,Hansh,Ghosh,1968-03-31,Maharashtra,Pune,Finance,Accountant,Bachelor,2022-12-08 11:23:33,60641
00-57469942,Nirvaan,Goyal,1982-12-17,Maharashtra,Mumbai,Sales,Sales Representative,Bachelor,2023-03-03 06:18:25,60519
00-30743797,Advika,Thaman,2000-07-13,Maharashtra,Nagpur,IT,System Administrator,Master,2024-09-30 05:28:02,88333
00-31810617,Romil,Ramesh,1999-07-24,Maharashtra,Nagpur,Sales,Sales Specialist,Bachelor,2024-01-04 00:54:59,56353
00-13326769,Nitya,Taneja,2001-04-22,Punjab,Ludhiana,Sales,Sales Specialist,Master,2017-04-27 06:24:43,79700
00-65259205,Nitara,Ben,1972-09-14,Karnataka,Mysore,Customer Service,Help Desk Technician,High School,2023-04-13 17:00:03,69040
00-43308443,Farhan,Walia,1970-11-07,Maharashtra,Mumbai,Marketing,SEO Specialist,Bachelor,2017-10-16 07:49:30,67359
00-61343880,Ishita,Brahmbhatt,1982-02-06,Punjab,Chandigarh,Operations,Operations Analyst,Bachelor,2023-04-20 10:09:31,67932
00-36786211,Lavanya,Cheema,1986-11-25,Uttar Pradesh,Kanpur,Sales,Sales Representative,Bachelor,2023-03-21 01:39:52,66086
00-50962024,Piya,Ravel,1981-07-13,Maharashtra,Pune,Customer Service,Help Desk Technician,High School,2023-07-16 06:45:13,52939
00-13176186,Ayesha,Dass,1967-01-09,Tamil Nadu,Coimbatore,Customer Service,Customer Service Representative,Bachelor,2022-02-05 20:17:02,53274
00-47393469,Myra,Kakar,1982-05-24,Maharashtra,Mumbai,Operations,Inventory Specialist,High School,2023-01-18 02:55:06,57503
00-96098221,Aarav,Ganesan,1972-06-20,Rajasthan,Jodhpur,Operations,Operations Analyst,Bachelor,2020-09-04 10:19:37,61022
00-81969657,Prerak,Buch,1993-08-19,Maharashtra,Mumbai,Customer Service,Customer Service Representative,Bachelor,2018-08-03 06:02:03,52083
00-45059710,Renee,Kala,2001-09-26,Maharashtra,Mumbai,IT,System Administrator,Master,2017-01-04 18:07:41,75405
00-24549543,Faiyaz,Barad,1973-09-16,Maharashtra,Pune,Operations,Inventory Specialist,Bachelor,2020-07-30 21:16:12,54690
00-52101056,Armaan,Tiwari,1988-09-09,Maharashtra,Mumbai,Sales,Sales Representative,Bachelor,2019-08-15 05:22:57,50815
00-61700055,Ishita,Borah,1992-10-24,Punjab,Amritsar,Operations,Operations Analyst,Bachelor,2023-02-19 11:52:42,56681
00-15957459,Arnav,Dube,1988-05-19,Maharashtra,Mumbai,Operations,Logistics Coordinator,Bachelor,2022-12-16 03:06:53,57405
00-82269803,Yashvi,Vasa,1966-04-13,Maharashtra,Pune,Sales,Sales Consultant,PhD,2022-12-16 02:35:05,65372
00-36445607,Taimur,Cheema,1980-07-19,Rajasthan,Udaipur,Operations,Operations Analyst,Master,2018-09-17 00:16:11,72066
00-54318698,Ehsaan,Goel,2001-08-31,Punjab,Ludhiana,Customer Service,Help Desk Technician,High School,2021-12-10 08:43:57,75223
00-26726926,Yuvraj ,Rao,1974-01-31,Maharashtra,Pune,Operations,Operations Analyst,Bachelor,2022-12-26 12:44:39,79708
00-51511484,Miraan,Venkatesh,1974-08-17,Maharashtra,Mumbai,Operations,Logistics Coordinator,Bachelor,2022-11-07 15:29:14,52662
00-49682169,Zoya,Chakrabarti,1991-08-16,Maharashtra,Mumbai,Operations,Operations Analyst,Master,2020-01-10 15:01:32,65050
00-99245317,Jayesh,Shan,1986-03-04,Maharashtra,Mumbai,HR,Recruiter,Bachelor,2024-10-30 20:22:14,58583
00-33357554,Zain,Suresh,1980-06-15,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2021-04-14 14:48:34,59144
00-83542887,Indranil,Subramaniam,1970-12-03,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2023-05-29 13:32:50,58935
00-38210242,Armaan,Varughese,1995-08-07,Rajasthan,Udaipur,Operations,Inventory Specialist,High School,2019-03-28 09:13:57,51940
00-97873101,Krish,Taneja,1994-11-21,Maharashtra,Mumbai,Customer Service,Help Desk Technician,High School,2018-05-16 19:03:09,55950
00-38682516,Ryan,Tara,1979-01-20,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2020-03-27 13:47:53,52180
00-98429450,Anay,Sahni,1976-09-16,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2016-06-03 17:58:19,50684
00-94951883,Shalv,Dewan,1968-04-16,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2021-10-28 07:55:36,52813
00-41523529,Ranbir,Gill,1998-03-26,Maharashtra,Pune,IT,IT Support Specialist,Bachelor,2022-06-05 05:16:21,53860
00-36726767,Parinaaz,Upadhyay,2000-01-21,Maharashtra,Nagpur,Operations,Logistics Coordinator,Bachelor,2017-05-09 14:32:25,50327
00-73771720,Aniruddh,Bhardwaj,1981-05-05,Maharashtra,Nagpur,Operations,Inventory Specialist,High School,2021-03-11 08:22:21,58588
00-65625330,Kavya,Deo,1966-03-03,Maharashtra,Nagpur,IT,Software Developer,Bachelor,2023-02-12 02:23:05,86149
00-61536717,Kimaya,Kalla,1987-02-03,Maharashtra,Nagpur,Marketing,Content Creator,Bachelor,2020-10-09 22:31:55,53333
00-98054615,Vedika,Dugar,1993-04-06,Punjab,Chandigarh,IT,Software Developer,Master,2022-08-24 10:16:33,91702
00-67062156,Diya,Bhardwaj,1989-10-12,Maharashtra,Mumbai,IT,IT Support Specialist,Bachelor,2017-12-16 07:59:30,52131
00-72350830,Kashvi,Chandran,1980-11-25,West Bengal,Kolkata,Operations,Logistics Coordinator,Bachelor,2016-01-18 05:42:44,50204
00-26288475,Rhea,Kamdar,1963-09-07,Maharashtra,Mumbai,IT,IT Support Specialist,High School,2019-07-21 22:00:31,53051
00-81287314,Zara,Luthra,1976-12-22,Maharashtra,Mumbai,Customer Service,Customer Service Representative,Bachelor,2024-05-21 10:47:24,58303
00-69401199,Adah,Banerjee,1986-01-14,Maharashtra,Nagpur,Customer Service,Help Desk Technician,Bachelor,2021-08-31 00:13:45,76209
00-67276174,Saksham,Saini,1972-01-18,Maharashtra,Mumbai,Finance,Accountant,Bachelor,2023-10-07 12:35:45,64516
00-31361812,Rohan,Kulkarni,1984-08-12,Maharashtra,Pune,IT,IT Support Specialist,Bachelor,2022-09-16 23:53:32,56771
00-44788100,Yuvraj ,Gade,1990-12-13,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2022-09-28 18:27:12,53329
00-79967676,Ritvik,Malhotra,1972-03-24,Punjab,Ludhiana,Operations,Inventory Specialist,Bachelor,2019-03-16 12:04:45,50283
00-69038700,Aaina,Salvi,1989-05-14,Maharashtra,Mumbai,Sales,Sales Representative,Bachelor,2016-09-20 01:03:38,63749
00-46468984,Siya,Zacharia,1975-05-30,Maharashtra,Mumbai,IT,IT Support Specialist,High School,2018-08-28 01:00:53,59272
00-28572252,Jiya,Dora,1991-03-15,Maharashtra,Pune,Operations,Operations Analyst,Bachelor,2017-08-01 19:08:41,57983
00-30509175,Aarav,Doshi,1983-02-03,Rajasthan,Udaipur,Sales,Sales Consultant,Bachelor,2022-03-23 15:02:40,67939
00-64707061,Adah,Srivastava,2003-01-13,Maharashtra,Nagpur,Customer Service,Support Specialist,Bachelor,2018-08-24 14:29:44,51730
00-18357162,Neysa,Dyal,1995-03-18,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2017-06-21 13:44:38,58974
00-88393811,Ahana ,Sandal,1978-02-09,Maharashtra,Nagpur,Customer Service,Support Specialist,Bachelor,2024-07-17 12:29:13,53884
00-87267850,Anika,Sundaram,1975-02-11,Maharashtra,Pune,Customer Service,Customer Service Representative,Bachelor,2018-09-13 20:56:02,59837
00-50079111,Dharmajan,Dhar,1998-08-23,Uttar Pradesh,Lucknow,IT,Software Developer,Bachelor,2022-09-15 19:33:58,87858
00-83300637,Myra,Rao,1986-05-18,Maharashtra,Pune,Customer Service,Support Specialist,Bachelor,2023-02-06 06:25:54,55399
00-39450273,Suhana,Dalal,1984-09-09,Maharashtra,Nagpur,Operations,Operations Analyst,Bachelor,2017-03-29 05:48:09,76543
00-62191530,Zara,Chaudhary,1973-08-05,Maharashtra,Mumbai,Operations,Inventory Specialist,High School,2018-01-10 11:39:40,59729
00-64266464,Azad,Das,1995-11-25,West Bengal,Howrah,IT,Software Developer,Bachelor,2022-08-26 09:29:10,79173
00-93517915,Tiya,Bansal,1994-07-23,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2020-06-09 22:52:12,53212
00-85751409,Mohanlal,Mani,1976-10-18,Maharashtra,Mumbai,Customer Service,Support Specialist,Bachelor,2022-10-06 23:28:09,51511
00-67527432,Rasha,Handa,1997-03-17,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2017-06-05 05:02:04,64294
00-16749089,Nirvaan,Borah,1963-12-11,Maharashtra,Mumbai,Sales,Sales Representative,Bachelor,2017-12-13 16:11:33,54286
00-71028710,Suhana,Vasa,1970-10-27,West Bengal,Howrah,Customer Service,Support Specialist,Bachelor,2018-10-30 07:24:14,55778
00-66581473,Aarna,Choudhary,1975-07-15,Punjab,Amritsar,Operations,Operations Analyst,Master,2017-11-09 06:50:49,56745
00-12601580,Rasha,Lad,1995-03-07,Maharashtra,Pune,Marketing,SEO Specialist,High School,2022-01-20 12:04:09,64114
00-40094589,Ivana,Dash,1971-10-29,Punjab,Amritsar,IT,Software Developer,Master,2022-06-27 06:31:57,84891
00-14164775,Himmat,Suresh,1995-03-09,Uttar Pradesh,Lucknow,Sales,Sales Consultant,Bachelor,2024-09-16 06:16:31,87764
00-12735359,Eva,Mammen,2004-02-02,Maharashtra,Mumbai,Operations,Inventory Specialist,High School,2021-05-04 05:25:52,55613
00-73560289,Tanya,Walla,1993-09-07,Maharashtra,Pune,Sales,Sales Consultant,Master,2022-08-26 22:20:00,72165
00-72415804,Saira,Walla,1997-12-01,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2022-06-15 17:30:43,51840
00-91321540,Ira,Kapoor,1974-05-25,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2021-10-16 19:22:15,63137
00-25372341,Anika,Kar,1981-03-16,Maharashtra,Nagpur,Finance,Accountant,Bachelor,2023-10-19 23:04:03,71325
00-24508768,Nishith,Trivedi,1982-06-09,Maharashtra,Nagpur,Sales,Sales Representative,Bachelor,2020-10-24 09:54:03,61320
00-60372847,Vanya,Lad,1996-07-17,Maharashtra,Mumbai,Operations,Logistics Coordinator,Bachelor,2019-09-01 09:43:07,53041
00-20200074,Nakul,Devan,1993-07-02,Uttar Pradesh,Varanasi,Operations,Inventory Specialist,High School,2020-01-31 02:11:49,55720
00-23676961,Riya,Dhar,1979-07-11,Maharashtra,Pune,Operations,Inventory Specialist,High School,2022-04-16 12:34:06,50820
00-90585882,Shamik,Dutta,2000-04-28,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2023-02-01 07:02:17,53822
00-15512205,Hiran,Borra,1979-04-22,Maharashtra,Mumbai,Marketing,Content Creator,Bachelor,2018-05-29 18:08:51,55803
00-59737181,Rania,Bose,1978-02-15,Karnataka,Bangalore,Finance,Financial Analyst,Master,2016-01-25 22:39:22,60568
00-11698142,Zeeshan,Jani,1986-01-31,Punjab,Ludhiana,Customer Service,Support Specialist,Bachelor,2023-07-30 17:30:08,53791
00-68186525,Anahita,Johal,1967-10-21,Uttar Pradesh,Lucknow,Sales,Sales Representative,Bachelor,2024-03-21 07:50:10,61012
00-71705170,Aaina,Hayer,2003-04-25,Maharashtra,Nagpur,Operations,Inventory Specialist,Bachelor,2022-09-28 02:44:38,53267
00-80027662,Akarsh,Varty,2002-09-28,Punjab,Ludhiana,Finance,Financial Analyst,PhD,2024-05-27 17:24:29,86428
00-82232344,Anvi,Aggarwal,1987-07-04,Maharashtra,Pune,Sales,Sales Specialist,Bachelor,2023-04-26 23:16:17,78820
00-89520597,Suhana,Hayer,1992-01-30,Punjab,Chandigarh,Sales,Sales Specialist,PhD,2017-07-29 00:34:45,71575
00-21631697,Siya,Shah,2000-09-24,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2017-11-07 15:18:42,55496
00-72372114,Lavanya,Yadav,1978-07-29,Maharashtra,Pune,Customer Service,Customer Service Representative,High School,2020-07-08 14:37:42,56557
00-55150390,Madhup,Deshpande,1993-03-23,Maharashtra,Nagpur,Operations,Logistics Coordinator,Bachelor,2015-07-08 14:30:41,59081
00-75437844,Aniruddh,Hayer,1986-06-10,Maharashtra,Mumbai,IT,System Administrator,Bachelor,2017-09-17 18:21:14,73227
00-47535126,Parinaaz,Sur,1991-01-30,Punjab,Chandigarh,IT,Software Developer,Master,2023-10-09 05:51:34,87027
00-84597009,Ivan,Trivedi,1995-05-17,Uttar Pradesh,Kanpur,Customer Service,Help Desk Technician,Bachelor,2015-12-24 02:44:56,64151
00-42394260,Gokul,Rastogi,1999-11-30,Punjab,Chandigarh,IT,Software Developer,Bachelor,2022-01-11 11:20:43,91278
00-42255732,Vihaan,Rajagopalan,2001-12-22,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2022-09-15 11:36:20,52427
00-75876924,Anay,Barman,1992-09-25,Maharashtra,Mumbai,Customer Service,Support Specialist,Bachelor,2019-02-22 16:48:39,58965
00-49491631,Anahi,Chand,1966-12-27,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2017-04-12 00:49:57,61855
